condition,feature_id,direction,confirmed,analysis_length_label,rank,token_id,token_text,activation_mass,within_label_mass_share
full_token_uniform,10807,short,False,short,7,12,-,5.7265625,0.0011798412928356432
full_token_uniform,10807,short,False,short,8,1124, \,5.015625,0.0010333671350620504
full_token_uniform,10807,short,False,short,9,17,2,4.4140625,0.0009094274630997795
full_token_uniform,10807,short,False,short,10,29723, mush,4.234375,0.0008724065221240362
full_token_uniform,10807,short,False,short,11,21264, couples,2.625,0.0005408276594717272
full_token_uniform,10807,short,False,short,12,284, =,2.5078125,0.0005166835675310252
full_token_uniform,10807,short,False,short,13,4392, Mr,2.359375,0.00048610105107280247
full_token_uniform,10807,short,False,short,14,6366, computer,2.265625,0.0004667857775202408
full_token_uniform,10807,short,False,short,15,60090, classmates,2.140625,0.00044103207945015853
full_token_uniform,10807,short,False,short,16,395,ass,2.09375,0.0004313744426738777
full_token_uniform,10807,short,False,short,17,36089, turtle,1.984375,0.00040883995686255575
full_token_uniform,10807,short,False,short,18,32205, Walter,1.8984375,0.0003911342894393742
full_token_uniform,10807,short,False,short,19,21042,ints,1.8359375,0.00037825744040433307
full_token_uniform,10807,short,False,short,20,510,:\n,1.828125,0.0003766478342749529
full_token_uniform,10807,short,False,long,1,16141,Answer,4689.6875,0.9678680637237316
full_token_uniform,10807,short,False,long,2,17,2,15.78125,0.0032569692288964116
full_token_uniform,10807,short,False,long,3,21806, Answer,15.40625,0.0031795759006850114
full_token_uniform,10807,short,False,long,4,84669, knocks,11.21875,0.0023153504023243794
full_token_uniform,10807,short,False,long,5,220, ,10.625,0.002192810965989663
full_token_uniform,10807,short,False,long,6,16,1,10.1015625,0.0020847827786945844
full_token_uniform,10807,short,False,long,7,582, we,8.703125,0.0017961701589062388
full_token_uniform,10807,short,False,long,8,510,:\n,6.453125,0.0013318101896378396
full_token_uniform,10807,short,False,long,9,29723, mush,6.453125,0.0013318101896378396
full_token_uniform,10807,short,False,long,10,25,:,5.890625,0.0012157201973207398
